AGE;MATI;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOK;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;SUHU_MIN;SUHU_MAX;KELEMBABAN;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE;FCR_ACT_lag_1;FCR_ACT_lag_2;FCR_ACT_lag_3;FCR_ACT_lag_7;FCR_ACT_lag_14;PAKAN_ACT_GR/EK_lag_1;PAKAN_ACT_GR/EK_lag_2;PAKAN_ACT_GR/EK_lag_3;PAKAN_ACT_GR/EK_lag_7;PAKAN_ACT_GR/EK_lag_14;DG_ACT_lag_1;DG_ACT_lag_2;DG_ACT_lag_3;DG_ACT_lag_7;DG_ACT_lag_14;SUHU_MAX_lag_1;SUHU_MAX_lag_2;SUHU_MAX_lag_3;SUHU_MAX_lag_7;SUHU_MAX_lag_14;SUHU_MIN_lag_1;SUHU_MIN_lag_2;SUHU_MIN_lag_3;SUHU_MIN_lag_7;SUHU_MIN_lag_14;KELEMBABAN_lag_1;KELEMBABAN_lag_2;KELEMBABAN_lag_3;KELEMBABAN_lag_7;KELEMBABAN_lag_14;MATI_lag_1;MATI_lag_2;MATI_lag_3;MATI_lag_7;MATI_lag_14;JML_DEPLESI_lag_1;JML_DEPLESI_lag_2;JML_DEPLESI_lag_3;JML_DEPLESI_lag_7;JML_DEPLESI_lag_14;PAKAN_ACT_GR/EK_rolling_mean_3;PAKAN_ACT_GR/EK_rolling_std_3;PAKAN_ACT_GR/EK_rolling_min_3;PAKAN_ACT_GR/EK_rolling_max_3;PAKAN_ACT_GR/EK_rolling_mean_7;PAKAN_ACT_GR/EK_rolling_std_7;PAKAN_ACT_GR/EK_rolling_min_7;PAKAN_ACT_GR/EK_rolling_max_7;PAKAN_ACT_GR/EK_rolling_mean_14;PAKAN_ACT_GR/EK_rolling_std_14;PAKAN_ACT_GR/EK_rolling_min_14;PAKAN_ACT_GR/EK_rolling_max_14;DG_ACT_rolling_mean_3;DG_ACT_rolling_std_3;DG_ACT_rolling_min_3;DG_ACT_rolling_max_3;DG_ACT_rolling_mean_7;DG_ACT_rolling_std_7;DG_ACT_rolling_min_7;DG_ACT_rolling_max_7;DG_ACT_rolling_mean_14;DG_ACT_rolling_std_14;DG_ACT_rolling_min_14;DG_ACT_rolling_max_14;PAKAN_DG_RATIO;SUHU_KELEMBABAN_INTERACTION;STRESS_INDEX;PAKAN_ACT_GR/EK_momentum_1;PAKAN_ACT_GR/EK_acceleration;DG_ACT_momentum_1;DG_ACT_acceleration;HEALTH_STATUS_SCORE
11;7;111;0.62;1.4;22.7;63;435;21;162;58.0;450.0;-1.7;-5;15;380;49;396.0;56;16;7;1.149;1.138;-0.011;289;312;28;30;60;17889;18000;1;1.152;1.098;1.09;0.909;0.428;56.0;53.0;44.0;39.0;28.0;34.0;46.0;33.0;30.0;22.0;30.0;30.0;30.0;32.0;32.0;28.0;28.0;28.0;30.0;30.0;60.0;60.0;60.0;65.0;65.0;6.0;10.0;8.0;16.0;16.0;104.0;98.0;88.0;53.0;16.0;55.667;2.517;53.0;58.0;46.714;9.268;33.0;58.0;40.818;11.583;22.0;58.0;45.333;11.015;34.0;56.0;37.429;10.799;25.0;56.0;32.182;11.4;19.0;56.0;1.036;1800;120;2.0;-1.0;22.0;34.0;25.7
12;9;120;0.67;1.53;24.5;68;506;24;186;67.0;517.0;-0.5;-1;11;434;54;446.0;51;12;-4;1.169;1.158;-0.011;297;317;28;30;60;17880;18000;1;1.138;1.152;1.098;0.891;0.428;58.0;56.0;53.0;33.0;28.0;56.0;34.0;46.0;40.0;22.0;30.0;30.0;30.0;32.0;32.0;28.0;28.0;28.0;30.0;30.0;60.0;60.0;60.0;65.0;65.0;7.0;6.0;10.0;10.0;16.0;111.0;104.0;98.0;63.0;16.0;60.333;5.859;56.0;67.0;51.571;9.778;39.0;67.0;43.0;13.382;22.0;67.0;47.0;11.533;34.0;56.0;39.0;11.972;25.0;56.0;33.75;12.152;19.0;56.0;1.314;1800;120;9.0;7.0;-5.0;-27.0;28.5
13;6;126;0.7;1.68;26.3;73;584;26;212;72.0;589.0;-0.3;-1;5;492;56;500.0;54;8;-2;1.186;1.178;-0.008;305;322;28;30;60;17874;18000;1;1.158;1.138;1.152;0.963;0.428;67.0;58.0;56.0;39.0;28.0;51.0;56.0;34.0;28.0;22.0;30.0;30.0;30.0;32.0;32.0;28.0;28.0;28.0;30.0;30.0;60.0;60.0;60.0;65.0;65.0;9.0;7.0;6.0;10.0;16.0;120.0;111.0;104.0;73.0;16.0;65.667;7.095;58.0;72.0;56.286;10.626;44.0;72.0;45.231;15.128;22.0;72.0;53.667;2.517;51.0;56.0;42.714;12.024;25.0;56.0;35.308;12.919;19.0;56.0;1.333;1800;120;5.0;-4.0;3.0;8.0;28.2
14;5;131;0.73;1.79;28.1;78;668;28;240;78.0;667.0;-0.1;0;-1;553;61;569.0;69;16;8;1.208;1.172;-0.036;313;342;28;30;60;17869;18000;1;1.178;1.158;1.138;1.052;0.428;72.0;67.0;58.0;44.0;28.0;54.0;51.0;56.0;25.0;22.0;30.0;30.0;30.0;32.0;32.0;28.0;28.0;28.0;30.0;30.0;60.0;60.0;60.0;65.0;65.0;6.0;9.0;7.0;7.0;16.0;126.0;120.0;111.0;80.0;16.0;72.333;5.508;67.0;78.0;61.143;11.782;44.0;78.0;47.571;16.969;22.0;78.0;58.0;9.644;51.0;69.0;49.0;12.702;33.0;69.0;37.714;15.334;19.0;69.0;1.13;1800;120;6.0;1.0;15.0;12.0;28.7
15;4;135;0.75;1.92;30.2;84;752;31;271;86.0;753.0;0.8;2;1;618;65;632.0;63;14;-2;1.219;1.191;-0.028;320;348;26;28;55;17865;18000;1;1.172;1.178;1.158;1.09;0.428;78.0;72.0;67.0;44.0;28.0;69.0;54.0;51.0;33.0;22.0;30.0;30.0;30.0;30.0;32.0;28.0;28.0;28.0;28.0;30.0;60.0;60.0;60.0;60.0;65.0;5.0;6.0;9.0;8.0;16.0;131.0;126.0;120.0;88.0;16.0;78.667;7.024;72.0;86.0;67.143;12.28;53.0;86.0;51.714;18.804;22.0;86.0;62.0;7.55;54.0;69.0;53.286;11.398;34.0;69.0;40.643;16.003;19.0;69.0;1.365;1540;110;8.0;2.0;-6.0;-21.0;29.0
16;7;142;0.79;2.06;32.4;90;841;32;303;89.0;842.0;-0.4;-1;1;685;68;702.0;70;17;2;1.229;1.199;-0.03;327;360;26;28;55;17858;18000;1;1.191;1.172;1.178;1.098;0.593;86.0;78.0;72.0;53.0;22.0;63.0;69.0;54.0;46.0;19.0;28.0;30.0;30.0;30.0;32.0;26.0;28.0;28.0;28.0;30.0;55.0;60.0;60.0;60.0;65.0;4.0;5.0;6.0;10.0;15.0;135.0;131.0;126.0;98.0;31.0;84.333;5.686;78.0;89.0;72.286;12.893;56.0;89.0;56.5;19.182;33.0;89.0;67.333;3.786;63.0;70.0;56.714;12.406;34.0;70.0;44.286;16.494;21.0;70.0;1.271;1540;110;3.0;-5.0;7.0;13.0;31.9
17;7;149;0.83;2.18;34.6;96;936;36;339;100.0;942.0;1.4;4;6;756;71;773.0;71;17;0;1.239;1.218;-0.021;334;367;26;28;55;17851;18000;1;1.199;1.191;1.172;1.152;0.794;89.0;86.0;78.0;56.0;33.0;70.0;63.0;69.0;34.0;21.0;28.0;28.0;30.0;30.0;32.0;26.0;26.0;28.0;28.0;30.0;55.0;55.0;60.0;60.0;65.0;7.0;4.0;5.0;6.0;6.0;142.0;135.0;131.0;104.0;37.0;91.667;7.371;86.0;100.0;78.571;14.281;58.0;100.0;61.286;21.128;33.0;100.0;68.0;4.359;63.0;71.0;62.0;8.327;51.0;71.0;47.857;16.478;25.0;71.0;1.408;1540;110;11.0;8.0;1.0;-6.0;33.3
18;15;164;0.91;2.31;36.7;102;1036;36;375;100.0;1042.0;-0.7;-2;6;830;74;865.0;92;35;18;1.249;1.204;-0.045;343;392;26;28;55;17836;18000;1;1.218;1.199;1.191;1.138;0.909;100.0;89.0;86.0;58.0;39.0;71.0;70.0;63.0;56.0;30.0;28.0;28.0;28.0;30.0;32.0;26.0;26.0;26.0;28.0;30.0;55.0;55.0;55.0;60.0;65.0;7.0;7.0;4.0;7.0;16.0;149.0;142.0;135.0;111.0;53.0;96.333;6.351;89.0;100.0;84.571;12.96;67.0;100.0;65.643;22.428;33.0;100.0;77.667;12.423;70.0;92.0;67.143;13.508;51.0;92.0;52.286;19.384;25.0;92.0;1.087;1540;110;0.0;-11.0;21.0;20.0;40.3
19;5;169;0.94;2.44;38.2;106;1142;39;414;108.0;1150.0;0.8;2;8;908;77;939.0;74;31;-3;1.259;1.225;-0.034;378;396;26;28;55;17831;18000;1;1.204;1.218;1.199;1.158;0.891;100.0;100.0;89.0;67.0;33.0;92.0;71.0;70.0;51.0;40.0;28.0;28.0;28.0;30.0;32.0;26.0;26.0;26.0;28.0;30.0;55.0;55.0;55.0;60.0;65.0;15.0;7.0;7.0;9.0;10.0;164.0;149.0;142.0;120.0;63.0;102.667;4.619;100.0;108.0;90.429;12.96;72.0;108.0;71.0;22.982;39.0;108.0;79.0;11.358;71.0;92.0;70.429;11.588;54.0;92.0;54.714;19.851;25.0;92.0;1.459;1540;110;8.0;8.0;-18.0;-39.0;36.3
20;8;177;0.98;2.57;41.0;114;1256;41;455;114.0;1264.0;0.0;0;8;967;80;1025.0;86;58;6;1.272;1.233;-0.039;383;407;26;28;55;17823;18000;1;1.225;1.204;1.218;1.178;0.963;108.0;100.0;100.0;72.0;39.0;74.0;92.0;71.0;54.0;28.0;28.0;28.0;28.0;30.0;32.0;26.0;26.0;26.0;28.0;30.0;55.0;55.0;55.0;60.0;65.0;5.0;15.0;7.0;6.0;10.0;169.0;164.0;149.0;126.0;73.0;107.333;7.024;100.0;114.0;96.429;12.726;78.0;114.0;76.357;23.679;44.0;114.0;84.0;9.165;74.0;92.0;75.0;10.263;63.0;92.0;58.857;19.899;25.0;92.0;1.326;1540;110;6.0;-2.0;12.0;30.0;39.4
21;5;182;1.01;2.7;43.2;120;1382;43;498;119.0;1383.0;-0.2;-1;1;1069;82;1106.0;81;37;-1;1.294;1.251;-0.043;387;413;26;28;55;17818;18000;1;1.233;1.225;1.204;1.172;1.052;114.0;108.0;100.0;78.0;44.0;86.0;74.0;92.0;69.0;25.0;28.0;28.0;28.0;30.0;32.0;26.0;26.0;26.0;28.0;30.0;55.0;55.0;55.0;60.0;65.0;8.0;5.0;15.0;5.0;7.0;177.0;169.0;164.0;131.0;80.0;113.667;5.508;108.0;119.0;102.286;12.257;86.0;119.0;81.714;24.272;44.0;119.0;80.333;6.028;74.0;86.0;76.714;10.095;63.0;92.0;62.857;18.119;33.0;92.0;1.469;1540;110;5.0;-1.0;-5.0;-17.0;38.9
22;9;191;1.06;2.83;45.4;126;1517;46;544;128.0;1511.0;0.6;2;-6;1153;84;1222.0;116;69;32;1.137;1.237;0.1;391;440;24;26;50;17809;18000;1;1.251;1.233;1.225;1.191;1.09;119.0;114.0;108.0;86.0;44.0;81.0;86.0;74.0;63.0;33.0;28.0;28.0;28.0;28.0;30.0;26.0;26.0;26.0;26.0;28.0;55.0;55.0;55.0;55.0;60.0;5.0;8.0;5.0;4.0;8.0;182.0;177.0;169.0;135.0;88.0;120.333;7.095;114.0;128.0;108.286;13.2;89.0;128.0;87.714;24.612;53.0;128.0;94.333;18.93;81.0;116.0;84.286;16.153;70.0;116.0;68.786;20.955;34.0;116.0;1.103;1300;100;9.0;4.0;35.0;40.0;42.7
23;12;203;1.13;2.96;47.5;132;1656;49;593;136.0;1647.0;1.5;4;-9;1239;86;1328.0;106;89;20;1.337;1.24;-0.097;394;455;24;26;50;17797;18000;1;1.237;1.251;1.233;1.199;1.098;128.0;119.0;114.0;89.0;53.0;116.0;81.0;86.0;70.0;46.0;26.0;28.0;28.0;28.0;30.0;24.0;26.0;26.0;26.0;28.0;50.0;55.0;55.0;55.0;60.0;9.0;5.0;8.0;7.0;10.0;191.0;182.0;177.0;142.0;98.0;127.667;8.505;119.0;136.0;115.0;13.699;100.0;136.0;93.643;25.584;56.0;136.0;101.0;18.028;81.0;116.0;89.429;16.572;71.0;116.0;73.071;22.044;34.0;116.0;1.283;1300;100;8.0;-1.0;-10.0;-45.0;46.6
24;8;211;1.17;3.09;49.7;138;1803;50;643;139.0;1786.0;0.3;1;-17;1327;88;1419.0;91;92;3;1.36;1.259;-0.101;397;459;24;26;50;17789;18000;1;1.24;1.237;1.251;1.218;1.152;136.0;128.0;119.0;100.0;56.0;106.0;116.0;81.0;71.0;34.0;26.0;26.0;28.0;28.0;30.0;24.0;24.0;26.0;26.0;28.0;50.0;50.0;55.0;55.0;60.0;12.0;9.0;5.0;7.0;6.0;203.0;191.0;182.0;149.0;104.0;134.333;5.686;128.0;139.0;120.571;14.49;100.0;139.0;99.571;25.806;58.0;139.0;104.333;12.583;91.0;116.0;92.286;14.454;74.0;116.0;77.143;19.374;51.0;116.0;1.527;1300;100;3.0;-5.0;-15.0;-5.0;46.2
25;4;215;1.19;3.22;51.8;144;1958;52;695;144.0;1931.0;0.2;0;-27;1418;90;1512.0;93;94;3;1.382;1.277;-0.105;400;462;24;26;50;17785;18000;1;1.259;1.24;1.237;1.204;1.138;139.0;136.0;128.0;100.0;58.0;91.0;106.0;116.0;92.0;56.0;26.0;26.0;26.0;28.0;30.0;24.0;24.0;24.0;26.0;28.0;50.0;50.0;50.0;55.0;60.0;8.0;12.0;9.0;15.0;7.0;211.0;203.0;191.0;164.0;111.0;139.667;4.041;136.0;144.0;126.857;13.594;108.0;144.0;105.714;25.381;67.0;144.0;96.667;8.145;91.0;106.0;92.429;14.455;74.0;116.0;79.786;18.783;51.0;116.0;1.548;1300;100;5.0;2.0;2.0;17.0;45.0
26;6;221;1.23;3.35;54.0;150;2120;54;749;150.0;2081.0;0.0;0;-39;1510;92;1594.0;82;84;-10;1.405;1.305;-0.1;402;458;24;26;50;17779;18000;1;1.277;1.259;1.24;1.225;1.158;144.0;139.0;136.0;108.0;67.0;93.0;91.0;106.0;74.0;51.0;26.0;26.0;26.0;28.0;30.0;24.0;24.0;24.0;26.0;28.0;50.0;50.0;50.0;55.0;60.0;4.0;8.0;12.0;5.0;9.0;215.0;211.0;203.0;169.0;120.0;144.333;5.508;139.0;150.0;132.857;13.146;114.0;150.0;111.643;25.337;72.0;150.0;88.667;5.859;82.0;93.0;93.571;12.998;81.0;116.0;82.0;16.857;54.0;116.0;1.829;1300;100;6.0;1.0;-11.0;-13.0;47.2
27;11;232;1.29;3.4;56.2;156;2285;56;805;156.0;2236.0;-0.2;0;-49;1604;94;1719.0;125;115;31;1.426;1.301;-0.125;404;477;24;26;50;17768;18000;1;1.305;1.277;1.259;1.233;1.178;150.0;144.0;139.0;114.0;72.0;82.0;93.0;91.0;86.0;54.0;26.0;26.0;26.0;28.0;30.0;24.0;24.0;24.0;26.0;28.0;50.0;50.0;50.0;55.0;60.0;6.0;4.0;8.0;8.0;6.0;221.0;215.0;211.0;177.0;126.0;150.0;6.0;144.0;156.0;138.857;12.681;119.0;156.0;117.643;25.172;78.0;156.0;100.0;22.338;82.0;125.0;99.143;16.965;81.0;125.0;87.071;18.395;63.0;125.0;1.248;1300;100;6.0;0.0;43.0;54.0;51.9
28;8;240;1.33;3.61;58.3;162;2455;57;862;158.0;2394.0;-1.3;-4;-61;1698;95;1778.0;59;80;-36;1.446;1.347;-0.099;405;459;24;26;50;17760;18000;1;1.301;1.305;1.277;1.251;1.172;156.0;150.0;144.0;119.0;78.0;125.0;82.0;93.0;81.0;69.0;26.0;26.0;26.0;28.0;30.0;24.0;24.0;24.0;26.0;28.0;50.0;50.0;50.0;55.0;60.0;11.0;6.0;4.0;5.0;5.0;232.0;221.0;215.0;182.0;131.0;154.667;4.163;150.0;158.0;144.429;10.952;128.0;158.0;123.357;24.553;86.0;158.0;88.667;33.501;59.0;125.0;96.0;22.136;59.0;125.0;86.357;19.322;59.0;125.0;2.678;1300;100;2.0;-4.0;-66.0;-109.0;52.0
29;8;248;1.38;3.74;60.5;168;2635;59;921;164.0;2558.0;-1.5;-4;-77;1794;96;1836.0;58;42;-38;1.47;1.393;-0.077;406;442;24;26;50;17752;18000;1;1.347;1.301;1.305;1.237;1.191;158.0;156.0;150.0;128.0;86.0;59.0;125.0;82.0;116.0;63.0;26.0;26.0;26.0;26.0;28.0;24.0;24.0;24.0;24.0;26.0;50.0;50.0;50.0;50.0;55.0;8.0;11.0;6.0;9.0;4.0;240.0;232.0;221.0;191.0;135.0;159.333;4.163;156.0;164.0;149.571;10.39;136.0;164.0;128.929;24.272;89.0;164.0;80.667;38.397;58.0;125.0;87.714;24.164;58.0;125.0;86.0;19.826;58.0;125.0;2.828;1300;100;6.0;4.0;-1.0;65.0;53.6
